,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
30,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185135296,4 extra columns added for this controller,A él le gusta ___ painting ___,el%2C hermoso,0,1,6,D,A él le gusta la painting hermosa,el%2C hermoso,la%2C hermosa,hermoso/a,painting,22806
36,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185149246,4 extra columns added for this controller,Me caí en ___ sidewalk ___,el%2C helado,0,1,18,D,Me caí en la sidewalk helada,el%2C helado,la%2C helada,helado/helada,sidewalk,5139
42,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185195954,4 extra columns added for this controller,Tú nadaste en ___ pool,la profunda,1,1,31,C,Tú nadaste en la profunda pool,el profundo,la profunda,profundo/profunda,pool,39913
48,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185327413,4 extra columns added for this controller,Ella arregló ___ broken machine,la,1,1,8,B,Ella arregló la broken machine,el,la,broken,machine,22556
54,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185403535,4 extra columns added for this controller,Subimos ___ mountain,la alta,1,1,7,C,Subimos la alta mountain,el alto,la alta,alto/a,mountain,23630
60,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185421779,4 extra columns added for this controller,Él visitó ___ famous beach,la,1,1,24,B,Él visitó la famous beach,el,la,famous,beach,4465
66,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185430904,4 extra columns added for this controller,Pásame ___ t-shirt,la,1,1,1,A,Pásame la t-shirt,el,la,none,t-shirt,3481
72,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185444119,4 extra columns added for this controller,Yo compré ___ table ___,la%2C barata,1,1,2,D,Yo compré la table barata,el%2C barato,la%2C barata,barato/a,table,50
78,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185452579,4 extra columns added for this controller,Quiero ver ___ movie,la buena,1,1,11,C,Quiero ver la buena movie,el buen,la buena,buen/buena,movie,4665
84,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185469664,4 extra columns added for this controller,Ella odia ___ sculpture ___,la%2C fea,1,1,14,D,Ella odia la sculpture fea,el%2C feo,la%2C fea,feo/a,sculpture,11455
