,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments
4,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701184767816,y;n
5,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,1,0,background,NULL,age-input,TextInput,Value,19,1701184964649,NULL
6,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,Spanish is my first language and I learned it when I started speaking at about age one and a half. I learned English at school so I learned that at about 4 years old. I speak English at school and Spanish at home.,1701184964650,NULL
7,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,I speak native Spanish from Mexico but I'm not exactly sure what dialect I speak.,1701184964650,NULL
8,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,I speak American English that I learned in the US at school.,1701184964650,NULL
219,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,,1701186129193,NULL
226,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701235857111,y;n
227,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,1,0,background,NULL,age-input,TextInput,Value,21,1701235890182,NULL
228,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,Learned Spanish at home since a kid,1701235890183,NULL
229,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,Central Mexico,1701235890183,NULL
230,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,Western American,1701235890183,NULL
441,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,The responses between 1 or 2 varied depending on whether I approached it as something I would say that other 'spanglish' speakers would understand%2C and then secondly what made sense grammatically as feminine or masculine,1701236258149,NULL
448,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701274865437,y;n
449,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,1,0,background,NULL,age-input,TextInput,Value,24,1701275025911,NULL
450,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,I was born and raised in Puerto Rico%2C so Spanish is my native language. I’ve been learning English since I was 3-4 from media and school. Both languages are spoken at home%2C at school and with friends. ,1701275025913,NULL
451,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,Puerto Rican,1701275025913,NULL
452,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,American,1701275025914,NULL
663,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,Definitely made me think for a bit haha. I’ve gotten so used to saying stuff that seeing it written made me take a step back and actually think about it. ,1701275493132,NULL
670,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701398367669,y;n
671,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,1,0,background,NULL,age-input,TextInput,Value,24,1701398675306,NULL
672,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,English native speaker and started learning Spanish around 11.I now live in a Spanish-only speaking household (in-laws only speak Spanish) and only recently started considering myself fluent in Spanish. ,1701398675309,NULL
673,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,Neutral dialect with /some Venezuelan influence. I have an accent. ,1701398675309,NULL
674,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,Neutral US%2C%2C native speaker. I am from Texas but do not have an accent. I went to school on the east coast and have some Delaware valley accent sometimes on the vowels namely O  ,1701398675310,NULL
885,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,Not very mobile friendly ,1701399148921,NULL
892,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701399617498,y;n
893,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,1,0,background,NULL,age-input,TextInput,Value,25,1701399812015,NULL
894,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,My native tongue is spanish%2C I'm mexican born and raised. I learned english by watching tv and listening to music. Social media helped.,1701399812020,NULL
895,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,Mexican (north),1701399812021,NULL
896,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,General american,1701399812021,NULL
1107,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,,1701400101970,NULL
1114,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701402133852,y;n
1115,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,1,0,background,NULL,age-input,TextInput,Value,25,1701402194090,NULL
1116,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,1,0,background,NULL,BL-profile-input,TextInput,Value,spanish at home with mom. english everywhere else,1701402194096,NULL
1117,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,1,0,background,NULL,Sp-dialect-input,TextInput,Value,northern mexico,1701402194097,NULL
1118,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,1,0,background,NULL,Eng-dialect-input,TextInput,Value,southern californian,1701402194097,NULL
1329,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,72,0,feedback,NULL,feedback-input,TextInput,Value,,1701402467376,NULL
1336,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,1,0,background,NULL,BL-selector,Selector,Select,y,1701401999281,y;n
